year_month,avg_price_per_sqm
2015-01,49451
2015-02,48797
2015-03,49935
2015-04,50872
2015-05,51551
2015-06,52435
2015-07,53221
2015-08,53856
2015-09,54470
2015-10,54836
2015-11,55602
2015-12,56264
2016-01,58025
2016-02,59469
2016-03,64622
2016-04,69570
2016-05,69935
2016-06,70236
2016-07,70693
2016-08,71958
2016-09,74601
2016-10,79553
2016-11,84166
2016-12,85041
2017-01,86251
2017-02,87388
2017-03,93437
2017-04,94347
2017-05,94985
2017-06,91707
2017-07,89097
2017-08,86565
2017-09,88083
2017-10,88381
2017-11,87629
2017-12,88154
2018-01,86889
2018-02,84173
2018-03,87544
2018-04,87021
2018-05,87503
2018-06,88588
2018-07,89519
2018-08,90271
2018-09,91354
2018-10,91574
2018-11,90970
2018-12,90353
2019-01,89301
2019-02,89442
2019-03,89396
2019-04,90427
2019-05,90010
2019-06,89931
2019-07,90334
2019-08,90688
2019-09,90368
2019-10,89766
2019-11,88800
2019-12,88408
2020-01,88407
2020-02,89196
2020-03,89382
2020-04,88722
2020-05,89054
2020-06,88394
2020-07,89258
2020-08,89010
2020-09,89187
2020-10,89475
2020-11,89840
2020-12,90062
2021-01,87531
2021-02,89578
2021-03,90709
2021-04,92760
2021-05,95235
2021-06,98013
2021-07,99603
2021-08,99408
2021-09,100188
2021-10,98734
2021-11,96199
2021-12,95420
2022-01,97385
2022-02,98425
2022-03,98675
2022-04,99049
2022-05,98014
2022-06,99043
2022-07,100005
2022-08,100666
2022-09,100215
2022-10,100768
2022-11,100281
2022-12,99875
2023-01,99943
2023-02,100058
2023-03,102060
2023-04,102136
2023-05,101939
2023-06,102306
2023-07,101882
2023-08,100871
2023-09,99670
2023-10,100399
2023-11,100606
2023-12,100608
2024-01,100580
2024-02,101489
2024-03,99152
2024-04,96732
2024-05,93947
2024-06,93431
2024-07,92698
2024-08,91697
2024-09,89744
2024-10,88548
2024-11,88711
2024-12,89034
2025-01,88532
2025-02,87943
2025-03,86803
2025-04,87044
2025-05,86792
2025-06,85544
2025-07,83315
2025-08,83039
2025-09,82155
2025-10,80623
